date,open,high,low,close,volume,market_cap,increase_flag,percent_change
20170223,0.121958,0.122226,0.114699,0.118724,6304,6097900,0,-2.651732564
20170222,0.124515,0.124515,0.115683,0.121959,6903,6225750,0,-2.052764727
20170221,0.1214,0.127322,0.114101,0.121561,14370,6070000,1,0.13261944
20170220,0.123001,0.127204,0.116679,0.121475,10971,6150050,0,-1.24064032
20170219,0.124522,0.124827,0.117671,0.122905,4321,6226100,0,-1.298565715
20170218,0.122901,0.130873,0.119005,0.124431,13458,6145050,1,1.244904435
20170217,0.125972,0.130485,0.115022,0.122661,28259,6298600,0,-2.628361858
20170216,0.112739,0.126088,0.112574,0.126088,10795,5636950,1,11.84062303
20170215,0.116744,0.120698,0.111437,0.112729,5690,5837200,0,-3.439148907
20170214,0.118339,0.121985,0.114384,0.116603,6788,5916950,0,-1.466972004
20170213,0.12153,0.13772,0.118105,0.118286,6977,6076500,0,-2.669299761
20170212,0.125493,0.137479,0.117401,0.121566,3330,6274650,0,-3.129258206
20170211,0.125788,0.127159,0.122483,0.125607,743,6289400,0,-0.143892899
20170210,0.12754,0.13171,0.117976,0.125761,2605,6377000,0,-1.394856516
20170209,0.129684,0.132791,0.118249,0.127476,10870,6484200,0,-1.702600167
20170208,0.133244,0.134031,0.121542,0.129568,8268,6662200,0,-2.758848428
20170207,0.126972,0.136817,0.126972,0.133135,5302,6348600,1,4.85382604
20170206,0.131717,0.138723,0.125146,0.126788,10498,6585850,0,-3.742113774
20170205,0.135944,0.143104,0.128306,0.131582,2685,6797200,0,-3.20867416
20170204,0.134385,0.147454,0.13296,0.135867,10217,6719250,1,1.102801652
20170203,0.14565,0.14565,0.132985,0.134264,9702,7282500,0,-7.817370409
20170202,0.147206,0.147974,0.134287,0.145699,2973,7360300,0,-1.023735446
20170201,0.147034,0.150287,0.140878,0.147218,4496,7351700,1,0.125141124
20170131,0.153713,0.153791,0.144326,0.147016,17416,7685650,0,-4.356820828
20170130,0.141147,0.15376,0.140489,0.15376,9285,7057350,1,8.936073739
20170129,0.138097,0.14186,0.132053,0.141204,11695,6904850,1,2.249867847
20170128,0.130334,0.137387,0.125774,0.134674,7066,6516700,1,3.329906241
20170127,0.129894,0.135296,0.128775,0.130343,9238,6494700,1,0.345666467
20170126,0.124319,0.135711,0.120759,0.133612,7694,6215950,1,7.475124478
20170125,0.120212,0.129256,0.115434,0.124216,6427,6010600,1,3.330782285
20170124,0.128569,0.128569,0.113295,0.120213,7139,6428450,0,-6.499233874
20170123,0.114416,0.130461,0.111428,0.129948,7175,5720800,1,13.57502447
20170122,0.116306,0.119379,0.109804,0.114313,6468,5815300,0,-1.713583134
20170121,0.117955,0.127853,0.114241,0.116309,15335,5897750,0,-1.395447416
20170120,0.116596,0.124276,0.111754,0.117809,16255,5829800,1,1.040344437
20170119,0.123035,0.123948,0.116102,0.116619,14984,6151750,0,-5.214776283
20170118,0.116816,0.123035,0.115687,0.123035,7457,5840800,1,5.32375702
20170117,0.119675,0.122525,0.114662,0.116638,7960,5983750,0,-2.537706288
20170116,0.12373,0.123958,0.118628,0.119649,5112,6186500,0,-3.298310838
20170115,0.122904,0.132022,0.117124,0.123732,6954,6145200,1,0.673696544
20170114,0.121337,0.12394,0.116299,0.122939,9262,6066850,1,1.320289771
20170113,0.124106,0.124342,0.113803,0.121321,50365,6205300,0,-2.244049442
20170112,0.115137,0.124128,0.109263,0.124122,59945,5756850,1,7.803746841
20170111,0.13397,0.13495,0.112802,0.115138,120522,6698500,0,-14.05687841
20170110,0.123761,0.13955,0.123113,0.133864,126915,6188050,1,8.163314776
20170109,0.13263,0.13367,0.117667,0.123767,90000,6631500,0,-6.682500188
20170108,0.128325,0.134773,0.127755,0.132609,69033,6416250,1,3.338398597
20170107,0.135505,0.135759,0.125106,0.131104,53818,6775250,0,-3.247850633
20170106,0.131087,0.139018,0.131087,0.135472,54666,6554350,1,3.345106685
20170105,0.136797,0.143977,0.126582,0.13107,206224,6839850,0,-4.186495318
20170104,0.140294,0.142834,0.134433,0.136734,94045,7014700,0,-2.537528333
20170103,0.145645,0.147282,0.139653,0.140422,90544,7282250,0,-3.586116928
20170102,0.141841,0.147746,0.141841,0.145642,75921,7092050,1,2.679761141
20170101,0.144763,0.147274,0.139742,0.141841,63512,7238150,0,-2.018471571
20161231,0.147526,0.148837,0.142705,0.144763,61000,7376300,0,-1.872890202
20161230,0.143599,0.14807,0.136893,0.147527,69464,7179950,1,2.735395093
20161229,0.150688,0.151915,0.140106,0.14095,100992,7534400,0,-6.462359312
20161228,0.158032,0.162041,0.14599,0.150689,118030,7901600,0,-4.646527286
20161227,0.1666,0.177395,0.153932,0.158032,265268,8330000,0,-5.142857143
20161226,0.146785,0.182563,0.141148,0.166597,579250,7339250,1,13.49729196
20161225,0.144213,0.153788,0.141296,0.146788,239670,7210650,1,1.785553314
20161224,0.139545,0.151804,0.136822,0.146916,132934,6977250,1,5.282167043
20161223,0.155059,0.157925,0.131227,0.137593,187645,7752950,0,-11.26409947
20161222,0.166441,0.184986,0.147481,0.155065,544880,8322050,0,-6.834854393
20161221,0.120868,0.168983,0.118599,0.167117,635204,6043400,1,38.26405666
20161220,0.121536,0.124127,0.115108,0.120868,73913,6076800,0,-0.549631385
20161219,0.11526,0.121812,0.106848,0.121387,55326,5763000,1,5.315807739
20161218,0.105842,0.117273,0.101063,0.11526,37746,5292100,1,8.898168969
20161217,0.114445,0.115568,0.10174,0.105842,62650,5722250,0,-7.517147975
20161216,0.109869,0.118707,0.109327,0.114432,49515,5493450,1,4.153127816
20161215,0.121012,0.123902,0.109819,0.109837,38086,6050600,0,-9.23462136
20161214,0.12793,0.12793,0.120364,0.121008,50948,6396500,0,-5.410771516
20161213,0.133035,0.136888,0.125618,0.127959,30845,6651750,0,-3.815537265
20161212,0.122082,0.140238,0.122082,0.129977,57019,6104100,1,6.466964827
20161211,0.125352,0.128221,0.12073,0.122134,41967,6267600,0,-2.567170847
20161210,0.130952,0.132206,0.12477,0.125328,37027,6547600,0,-4.294703403
20161209,0.134409,0.136923,0.129699,0.13007,54783,6720450,0,-3.228206445
20161208,0.137448,0.138971,0.134429,0.134429,31065,6872400,0,-2.196467028
20161207,0.136196,0.142794,0.134726,0.13745,51152,6809800,1,0.920731886
20161206,0.13896,0.14181,0.135703,0.136097,54376,6948000,0,-2.060305124
20161205,0.14727,0.14727,0.138194,0.141459,71656,7363500,0,-3.945813811
20161204,0.142444,0.157052,0.142444,0.14717,109462,7122200,1,3.317795063
20161203,0.141987,0.144054,0.136455,0.142444,121437,7099350,1,0.321860452
20161202,0.140119,0.145737,0.138452,0.141991,69742,7005950,1,1.336007251
20161201,0.144522,0.144846,0.138559,0.140114,62769,7226100,0,-3.050054663
20161130,0.149963,0.150848,0.140499,0.144636,63418,7498150,0,-3.552209545
