Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change
20170528,0.989557,1.07,0.814832,0.930106,5133830,49477900,-5.318074654,6335896.67,8650878.57,6653885,3757148,0.91,1.03,0.92,0.7,2038.87,2217.847143,2148.602,-7.425922394,2415.820068,2408.480015,2400.455005,0,1,3.941378725
20170527,0.806824,1.03,0.598245,0.982348,7025920,40341200,18.84933622,8777286.67,8292035.71,6260656,3551744,0.97,0.99,0.88,0.68,2202.42,2224.398571,2128.624,-4.449496308,2415.820068,2403.610003,2395.444995,0,0,-5.318074654
20170526,1.11,1.22,0.69411,0.826549,6847940,55293000,-25.53612613,14068780,7499214.29,5690931,3262901,1.23,0.95,0.83,0.66,2304.98,2193.725714,2081.827,-5.674321913,2415.820068,2398.73999,2389.565991,0.031055,1,18.84933622
20170525,1.74,1.74,1.01,1.11,12458000,87149500,-36.93181818,13072386.67,6790165.71,5069857,2987590,1.25,0.92,0.8,0.65,2443.64,2134.25,2025.172,5.310245559,2415.070068,2393.869978,2388.050977,0.444194805,0,-25.53612613
20170524,0.878954,1.9,0.863444,1.76,22900400,43947700,100.6482306,9696820,5182100,3913779,2497695,1.12,0.84,0.73,0.62,2320.42,2047.885714,1961.699,6.764516426,2404.389893,2386.819964,2386.775977,0.248912667,0,-36.93181818
20170523,0.721726,0.901805,0.695115,0.877157,3858760,36086300,21.74518311,2937330,2100424.29,1673909,1468547,0.75,0.66,0.6,0.56,2173.4,1964.175714,1910.148,6.476582403,2398.419922,2380.054269,2385.426977,0.183787185,1,100.6482306
20170522,0.682007,0.742591,0.669175,0.720486,2331300,34100400,8.483891222,2143133.33,1640202,1349723,1313521,0.68,0.6,0.56,0.53,2041.2,1902.037143,1865.232,-2.088040178,2394.02002,2380.375697,2384.674975,0.516013154,1,21.74518311
20170521,0.665434,0.744667,0.618864,0.664141,2621930,33271700,-0.201957971,1994233.33,1435333.29,1171396,1226397,0.65,0.57,0.54,0.51,2084.73,1868.852857,1845.969,4.880993706,2381.72998,2381.561419,2384.362964,0,1,8.483891222
20170520,0.638148,0.671513,0.612225,0.665485,1476170,31907400,5.321590226,1520770,1132442.29,1004518,1152403,0.61,0.54,0.52,0.49,1987.71,1828.878571,1816.209,5.245016281,2381.72998,2382.871407,2385.63396,0,0,-0.201957971
20170519,0.539752,0.682251,0.539752,0.63186,1884600,26987600,17.12367998,1471603.33,1009690.57,941226,1160171,0.57,0.51,0.51,0.48,1888.65,1791.24,1792.974,2.694811021,2381.72998,2384.181396,2387.42395,0.676749962,1,5.321590226
20170518,0.533423,0.552265,0.514519,0.539481,1201540,26671200,1.474297602,1055804.67,818751.71,860411,1113942,0.51,0.49,0.49,0.46,1839.09,1785.514286,1776.444,6.033036409,2365.719971,2385.491385,2388.942944,0.368681854,1,17.12367998
20170517,0.464285,0.531643,0.454101,0.531643,1328670,23214200,14.66052145,954364.33,783267.71,842832,1077549,0.49,0.49,0.48,0.44,1734.45,1778.091429,1752.206,-0.228942206,2357.030029,2389.594238,2392.308935,-1.817821459,1,1.474297602
20170516,0.474567,0.474567,0.452551,0.463667,637204,23728400,-1.359409604,678705.33,713921,834871,1027514,0.47,0.48,0.49,0.43,1738.43,1781.078571,1736.641,-3.896269024,2400.669922,2395.679931,2396.534936,-0.068689681,1,14.66052145
20170515,0.477364,0.4933,0.45415,0.470057,897219,23868200,-1.567607524,671940,776670.43,905322,1004924,0.48,0.48,0.5,0.41,1808.91,1778.924286,1718.343,0.221617698,2402.320068,2395.144217,2396.396948,0.477651364,0,-1.359409604
20170514,0.483372,0.490861,0.473253,0.477543,501693,24168600,-1.444863624,555543,795032,1081610,972153,0.48,0.48,0.51,0.4,1804.91,1748.61,1691.219,4.678583028,2390.899902,2394.724191,2396.093945,0,0,-1.567607524
20170513,0.487873,0.491284,0.451528,0.484544,616908,24393600,-0.643859548,706029.33,901798.71,1263186,960204,0.48,0.49,0.51,0.38,1724.24,1716.308571,1659.737,-6.725739355,2390.899902,2395.922782,2395.955957,0,0,-1.444863624
20170512,0.480874,0.508175,0.469682,0.487684,548028,24043700,1.373376819,781474.33,1005343.29,1277319,938142,0.49,0.51,0.5,0.37,1848.57,1692.195714,1632.595,3.437914421,2390.899902,2397.121373,2395.678955,-0.147844134,0,-0.643859548
20170511,0.504314,0.520573,0.431391,0.481077,953152,25215700,-4.528134886,957615,1307067.86,1281399,925147,0.48,0.52,0.48,0.35,1787.13,1647.781429,1589.898,1.809885152,2394.439941,2398.319964,2395.705957,-0.216280937,1,1.373376819
20170510,0.44926,0.541055,0.44926,0.503894,843243,22463000,12.13343125,981814.33,1501967.57,1300288,890646,0.48,0.52,0.46,0.34,1755.36,1605.347143,1545.974,1.857428845,2399.629883,2397.617118,2395.094971,0.113060139,0,-4.528134886
20170509,0.496131,0.501255,0.407576,0.44937,1076450,24806600,-9.505570189,1117086.67,1489823.86,1379116,859610,0.49,0.5,0.45,0.32,1723.35,1562.127143,1502.617,7.931308754,2396.919922,2395.974261,2393.551978,-0.102524866,1,12.13343125
20170508,0.5303,0.542761,0.486931,0.496572,1025750,26515000,-7.320004778,1205510,1420163,1367472,820652,0.54,0.48,0.43,0.31,1596.71,1519.02,1461.93,1.134405878,2399.379883,2395.152832,2392.279981,0.003744608,0,-9.505570189
20170507,0.585263,0.591143,0.516306,0.535792,1249060,29263200,-8.827743461,1750293.33,1436777.29,1312266,786800,0.57,0.45,0.4,0.29,1578.8,1483.474286,1434.032,1.501173294,2399.290039,2393.574289,2390.761987,0,0,-7.320004778
20170506,0.572854,0.59035,0.537649,0.58767,1341720,28642700,1.950640672,2106423.33,1491414.43,1220158,740912,0.55,0.43,0.37,0.28,1555.45,1446.758571,1404.26,1.156294914,2399.290039,2391.418562,2389.709985,0,0,-8.827743461
20170505,0.493833,0.576426,0.470129,0.576426,2660100,24691600,15.21399775,1911929,1436884.86,1104526,682220,0.47,0.38,0.33,0.26,1537.67,1412.62,1375.264,3.193095719,2399.290039,2389.262835,2388.525977,0.408869518,1,1.950640672
20170504,0.345096,0.500403,0.334537,0.500309,2317450,17254800,45.53088876,1221503.67,1124540.43,862696,553044,0.39,0.33,0.29,0.24,1490.09,1381.2,1346.512,2.565355653,2389.52002,2387.107108,2387.457983,0.058210276,1,15.21399775
20170503,0.314746,0.348589,0.309078,0.343782,758237,15737300,9.195033557,829703.67,840329.29,657222,442328,0.33,0.29,0.26,0.22,1452.82,1351.341429,1318.224,2.196117051,2388.129883,2386.999965,2385.920972,-0.127136051,1,45.53088876
