date,open,high,low,close,volume,market_cap,3_day_vol_avg,7_day_vol_avg,14_day_vol_avg,20_day_vol_avg,3_day_close_avg,7_day_close_avg,14_day_close_avg,20_day_close_avg,high_minus_low,open_to_close,sp500_close,sp500_volume,sp500_increased_since_yesterday,sp500_close_increases_tomorrow,increase_flag,percent_change
17061,12.56,12.76,12.44,12.7,7446610,1055440000,10725733.33,9406511.429,8294007.857,9466010.5,12.4,12.08142857,11.88428571,11.806,0.32,-0.14,2139.159912,5014360000,1,0,0,-2.13
17060,11.96,12.75,11.9,12.56,17421500,1004740000,10141803.33,9374181.429,8716307.143,9358832,12.14,12.00571429,11.81714286,11.7175,0.85,-0.6,2139.159912,5014360000,1,1,1,1.11
17059,11.94,12.14,11.92,11.94,7309090,1002970000,8236070,7758138.571,8141078.571,9243177,11.92666667,11.87571429,11.785,11.647,0.22,0,2139.159912,5014360000,0,1,1,5.19
17058,11.9,12,11.86,11.92,5694820,999352000,8292400,8361840,9336965,9170615,11.91,11.79142857,11.78857143,11.615,0.14,-0.02,2147.26001,3373720000,1,0,1,0.17
17057,11.89,12.09,11.88,11.92,11704300,997638000,9324520,8421872.857,9721170.714,9313493,11.81666667,11.73857143,11.77071429,11.587,0.21,-0.03,2125.77002,3664100000,0,1,1,0.00
17056,11.64,11.95,11.61,11.89,7478080,976645000,7829853.333,7656448.571,9400953.571,8949449,11.9,11.70571429,11.72142857,11.543,0.34,-0.25,2127.02002,4141670000,0,0,1,0.25
17055,12.21,12.21,11.59,11.64,8791180,1023640000,7373560,7405880,9447557.857,8900014,11.82,11.68142857,11.65642857,11.5,0.62,0.57,2159.040039,4010480000,1,0,1,2.15
17054,11.66,12.22,11.54,12.17,7220300,977515000,8288166.667,7181504.286,9198405,8789901,11.72333333,11.68714286,11.60571429,11.474,0.68,-0.51,2127.810059,4233960000,1,1,0,-4.35
17053,11.41,11.68,11.39,11.65,6109200,956210000,7919750,8058432.857,9761840.714,8646669,11.51666667,11.62857143,11.53285714,11.4245,0.29,-0.24,2127.810059,4233960000,1,1,1,4.46
17052,11.55,11.7,11.25,11.35,11535000,967010000,7998793.333,8524018.571,9743887.143,8713386,11.53,11.69428571,11.50785714,11.4045,0.45,0.2,2127.810059,4233960000,0,1,1,2.64
17051,11.69,11.73,11.52,11.55,6115050,979087000,6061826.667,10312090,9530842.857,8406178.5,11.65333333,11.78571429,11.50857143,11.3745,0.21,0.14,2181.300049,3727840000,0,0,0,-1.73
17050,11.73,11.73,11.47,11.69,6346330,981303000,6430326.667,11020468.57,9410012.143,8447216,11.69666667,11.80285714,11.47214286,11.335,0.26,0.04,2186.159912,3319420000,0,0,0,-1.20
17049,11.68,11.81,11.59,11.72,5724100,977169000,8767816.667,11145458.57,9420230,8571587.5,11.72,11.73714286,11.425,11.288,0.22,-0.04,2186.47998,3447650000,1,0,0,-0.26
17048,11.75,11.79,11.47,11.68,7220550,982952000,9982550,11489235.71,9482002.857,8637958,11.85,11.63142857,11.38214286,11.259,0.32,0.07,2179.97998,3091120000,1,1,1,0.34
17047,12.11,12.36,11.35,11.76,13358800,1012580000,15592866.67,11215305.71,9277367.857,8651972.5,11.95333333,11.52428571,11.34642857,11.236,1.01,0.35,2179.97998,3091120000,1,1,0,-0.68
17046,11.96,12.31,11.88,12.11,9368300,999757000,14831166.67,11465248.57,8854849.286,8418040.5,11.92333333,11.43714286,11.31,11.2075,0.43,-0.15,2179.97998,3091120000,1,1,0,-2.89
17045,11.67,12.58,11.65,11.99,24051500,974844000,14115486.67,10963755.71,8570745.714,8326600,11.63,11.32142857,11.21285714,11.1805,0.93,-0.32,2179.97998,3091120000,1,1,1,1.00
17044,11.24,11.68,11.18,11.67,11073700,938406000,8808500,8749595.714,7348195.714,7808530,11.29333333,11.23142857,11.125,11.17,0.5,-0.43,2170.860107,3392120000,0,1,1,2.74
17043,10.99,11.3,10.96,11.23,7221260,917474000,6884946.667,7799555.714,7188200,8130095,11.04666667,11.14142857,11.05928571,11.171,0.34,-0.24,2170.949951,3766390000,0,0,1,3.92
17042,10.92,11.15,10.79,10.98,8130540,910698000,9513993.333,7695001.429,7176075,9173847,11.02,11.11285714,11.05285714,11.2165,0.36,-0.06,2176.120117,3006800000,0,0,1,2.28
17041,11.15,11.15,10.92,10.93,5303040,929690000,8756430,7474770,7131096.429,10600150,11.12666667,11.13285714,11.07,11.2795,0.23,0.22,2180.379883,2654780000,1,0,1,0.46
17040,11.29,11.29,11.14,11.15,15108400,941585000,9839543.333,7339430,7372319.286,11082833,11.27,11.16857143,11.08857143,11.2955,0.15,0.14,2169.040039,3342340000,1,1,0,-1.97
17039,11.35,11.45,11.21,11.3,5857850,946092000,6277883.333,6244450,6831682.857,11154963,11.23333333,11.18285714,11.11857143,11.2835,0.24,0.05,2169.040039,3342340000,1,1,0,-1.33
17038,11.03,11.39,11.02,11.36,8552380,918977000,6488393.333,6177735.714,7391129.286,11697700.5,11.14333333,11.10428571,11.15285714,11.2625,0.37,-0.33,2169.040039,3342340000,0,1,0,-0.53
