date,open,high,low,close,volume,market_cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change,tomorrow_price
20151015,0.005424,0.005468,0.00539,0.005399,440929,179833000,-0.350682909,378331.6667,343898.5714,379483.4,465567.9,0.005398,0.005236571,0.005239,0.0054948,251.99,246.4328571,245.444,0.993948138,2023.859985,2011.98856,2007.309998,1.485277356,0,-0.018521949,0.005418
20151014,0.005379,0.005464,0.005376,0.005418,338407,178339000,0.762506974,272464,375953,397757.2,463694.1,0.005351667,0.005184,0.0051999,0.00555735,249.51,245.1442857,244.071,1.712119359,1994.23999,2010.49857,2003.629004,-0.471627411,0,-0.350682909,0.005377
20151013,0.005262,0.005386,0.005246,0.005377,355659,174462000,2.224334601,204513.3333,380906.2857,399492.7,466788.1,0.005273,0.005177857,0.0051817,0.00562195,245.31,244.6514286,242.993,-0.704310868,2003.689941,2010.725708,1999.341004,-0.682542418,1,0.762506974,0.00526
20151012,0.005181,0.005265,0.005174,0.00526,123326,168331000,1.505210343,140323,379977,403498.3,498300.25,0.005159667,0.005170857,0.0051957,0.0056865,247.05,243.9471429,242.191,0.861435454,2017.459961,2007.330009,1994.108008,0.127547706,1,2.224334601,0.005182
20151011,0.005038,0.005183,0.005011,0.005182,134555,163660000,2.878697637,382989.6667,451454.2857,449937.9,504742.6,0.005067333,0.005134857,0.0052565,0.0057819,244.94,242.6914286,241.241,0.414053212,2014.890015,2002.985735,1987.49801,0,1,1.505210343,0.005037
20151010,0.004983,0.005116,0.00497,0.005037,163088,161887000,1.083684527,559908,483055.2857,492242.1,510281.05,0.005017,0.005142571,0.0052831,0.00588515,243.93,241.8042857,240.353,0.672719769,2014.890015,1993.910017,1978.391003,0,1,2.878697637,0.004983
20151009,0.005032,0.005035,0.004857,0.004983,851326,163468000,-0.954084675,629905.3333,516287.7143,547912.6,524378.6,0.005129667,0.005211143,0.0053314,0.00601515,242.3,240.8557143,239.629,-0.275754208,2014.890015,1984.834298,1968.905005,0.072511136,1,1.083684527,0.005031
20151008,0.005375,0.005375,0.005031,0.005031,665310,174634000,-6.4,462514.6667,478630,559279.5,503877.2,0.005244667,0.005337571,0.005391,0.0061401,242.97,240.1771429,239.313,-1.25579127,2013.430054,1975.75858,1955.825,0.881843563,0,-0.954084675,0.005375
20151007,0.005328,0.005477,0.005327,0.005375,373080,173088000,0.882132132,448633.6667,463242.4286,553034.1,495670.3,0.005237,0.005397143,0.0055172,0.006265,246.06,239.19,238.292,2.362925368,1995.829956,1962.957136,1942.658997,0.803563358,0,-6.4,0.005328
20151006,0.005009,0.005336,0.004991,0.005328,349154,162721000,6.389776358,442861,512772.8571,542640.4,504221.3,0.005190667,0.005417857,0.0056333,0.00636485,240.38,237.8514286,237.12,0.889784269,1979.920044,1952.128575,1936.209998,-0.358823624,1,0.882132132,0.005008
20151005,0.005237,0.005237,0.005008,0.005008,623667,170152000,-4.35446906,458381.3333,600750.1429,551652.4,502588.45,0.005253667,0.005453714,0.0057506,0.00646975,238.26,237.6742857,236.596,-0.196875131,1987.050049,1938.438564,1931.35199,1.828984107,1,6.389776358,0.005236
20151004,0.005515,0.005515,0.005236,0.005236,355762,179170000,-5.093347834,446399.6667,597777.1429,529631,505230.15,0.005540333,0.005637286,0.0059148,0.00660535,238.73,236.8885714,236.223,0.606852375,1951.359985,1923.398559,1925.780981,0,0,-4.35446906,0.005517
